start_ts,end_ts,label
2026-08-31 23:22:40,2026-08-31 23:45:06,occupied
2026-08-31 23:45:10,2026-08-31 23:45:16,empty
2026-08-31 23:45:20,2026-09-01 00:01:56,occupied
2026-09-01 00:02:00,2026-09-01 00:02:41,empty
2026-09-01 00:02:45,2026-09-01 00:06:11,occupied
2026-09-01 00:06:15,2026-09-01 00:06:16,empty
2026-09-01 00:06:20,2026-09-01 00:06:26,occupied
2026-09-01 00:06:30,2026-09-01 00:06:46,empty
2026-09-01 00:06:50,2026-09-01 00:06:51,occupied
2026-09-01 00:06:55,2026-09-01 00:07:01,empty
2026-09-01 00:07:05,2026-09-01 00:07:26,occupied
2026-09-01 00:07:30,2026-09-01 00:07:31,empty
2026-09-01 00:07:35,2026-09-01 01:19:38,occupied
2026-09-01 01:19:42,2026-09-01 01:20:43,empty
2026-09-01 01:20:47,2026-09-01 01:38:08,occupied
2026-09-01 01:38:12,2026-09-01 01:38:48,empty
2026-09-01 01:38:52,2026-09-01 01:42:58,occupied
2026-09-01 01:43:02,2026-09-01 01:44:38,empty
